"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Chesapeake","Chesapeake","VA","Virginia Beach, VA","""Virginia Beach-Norfolk-Newport News, VA-NC""",82,1.85227707615767,78.87,,0.8213,245800,0.655200655200655,1.31904369332234,0.0171440195280717,,0.16557075083155,0.027927667208299,89
"City","Hialeah","Hialeah","FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",83,7.07488200025513,88.57,,,213500,0.945626477541371,15.0323275862069,0.0322201405152225,,0.150239701662262,0.0533449920453117,97
"City","Madison","Madison","WI","Madison, WI","""Madison, WI""",84,6.90139048348004,95.83,0.3247,,218900,0.597426470588235,5.69773056494447,0.0293558702603929,,0.0593417442535713,0.0143815701352631,66
"City","Fontana","Fontana","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",85,4.80290853425182,91.04,8.0792,1.1629,337800,0.1185536455246,7.2040622024754,0.0465896980461811,,0.100766554687052,0.056485929826046,73
"City","Fort Myers","Fort Myers","FL","Fort Myers, FL","""Cape Coral-Fort Myers, FL""",86,8.4105115448399,80.57,,,200800,0.702106318956871,11.1849390919158,0.0388695219123505,,0.0984310033354024,0.0325174451776252,105
"City","Knoxville","Knoxville","TN","Knoxville, TN","""Knoxville, TN""",87,6.59267763745376,,,,124400,0.89213300892133,4.80202190395956,0.0440353697749196,,0.117911133422485,0.0145583078969387,76
"City","Laredo","Laredo","TX","Laredo, TX","""Laredo, TX""",88,3.56423013139431,100,,,119500,-0.333611342785655,2.13675213675214,0.0383849372384937,,0.113843906165942,0.0382633245776477,
"City","North Las Vegas","North Las Vegas","NV","Las Vegas, NV","""Las Vegas-Henderson-Paradise, NV""",89,2.07296849087894,76.92,12.8765,3.9364,193000,0.783289817232376,9.78384527872583,0.051020725388601,,0.237839974190749,0.071916247828415,69
"City","Lawrenceville","Lawrenceville","GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",90,6.17425692052558,87.5,,,178000,1.07893242475866,7.29355033152501,0.0454101123595505,,0.0934241053925457,0.0321616732669876,69
"City","Fremont","Fremont","CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",91,8.92333205766042,100,0.8688,,909500,0.530562617442246,5.62071768667983,0.0144321055525014,,0.0278673505380952,0.00132866127837029,50
"City","Fayetteville","Fayetteville","NC","Fayetteville, NC","""Fayetteville, NC""",92,4.42530935068249,25,,7.4956,112300,0.53715308863026,2.93308890925756,0.0477560106856634,,,,121
"City","Springfield","Springfield","MO","Springfield, MO","""Springfield, MO""",93,2.94042607475443,,,,117500,0,4.07440212577502,0.0270893617021277,,0.096965289924995,0.0179878020161181,
"City","Arlington","Arlington","VA","Washington, DC","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",94,5.84896032657227,83.33,1.5982,,631100,0.381740098616192,1.83959980635792,0.020372365710664,,0.102863978806543,0.00677570060552931,69
"City","Irving","Irving","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",95,9.54841178721776,97.22,4.9181,0.2278,174200,1.04408352668213,20.387007601935,0.0677898966704937,,0.051926241867227,0.0119767346319233,51.5
"City","Gilbert","Gilbert","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",96,3.6318407960199,82.5,5.2483,1.4677,285700,0.351246926589392,3.36468885672938,0.0216660833041653,,0.108393890770195,0.0205162851773547,66
"City","Scottsdale","Scottsdale","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",97,6.46000765403751,84.59,2.7722,1.0176,413200,0.242600679281902,4.29076224129228,0.017877541142304,,0.0941817935768573,0.0142386014477344,96
"City","Winston-Salem","Winston-Salem","NC","Winston-Salem, NC","""Winston-Salem, NC""",98,3.01058808521495,65.03,6.074,0.276,119000,0.337268128161889,3.65853658536585,0.0353529411764706,,0.137405465089285,0.0375558111381818,95
"City","Irvine","Irvine","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",99,7.94616660288302,94.69,0.7776,0.6723,770900,0.338409475465313,2.78666666666667,0.00729926060448816,,0.0568563804810716,0.0131195185608582,76
"City","Richmond","Richmond","VA","Richmond, VA","""Richmond, VA""",100,3.25934430412042,85.19,8.6076,,166700,1.58439975624619,9.02550686723349,0.0310317936412718,,0.175644205774937,0.0329759326905983,69
"City","Boca Raton","Boca Raton","FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",101,5.70353361398138,87.94,,,314600,0.672,7.48206354629313,0.00918944691671975,,0.0802806179025171,0.0402956524367279,117
"City","Oxnard","Oxnard","CA","Ventura, CA","""Oxnard-Thousand Oaks-Ventura, CA""",102,5.10907003444317,100,4.6845,2.8831,442600,0.317316409791478,4.85666903577351,0.0306913691821058,,0.0953992000763681,0.044902707605312,76
"City","Bradenton","Bradenton","FL","North Port-Sarasota-Bradenton, FL","""North Port-Sarasota-Bradenton, FL""",103,6.80188799591785,80.45,,,213100,1.09108159392789,10.4717470191809,0.0221257625527922,,0.0864402049351397,0.0510520644319024,102
"City","Santa Rosa","Santa Rosa","CA","Santa Rosa, CA","""Santa Rosa, CA""",104,8.47812220946549,97.3,4.4072,0.4705,513100,0.568404547236378,7.61325503355705,0.00750341064120064,,0.0452010459449552,0.0128584855747738,59
"City","Reno","Reno","NV","Reno, NV","""Reno, NV""",105,7.4550325296594,81.63,3.4765,,304500,0.761085373924553,13.1970260223048,0.0384958949096881,,0.0757340975414644,0.0460912139196664,68
"City","Spokane","Spokane","WA","Spokane, WA","""Spokane-Spokane Valley, WA""",106,5.93060339328996,90.86,8.9312,2.9248,165000,0.671140939597315,10.6639839034205,0.0455454545454546,,0.0843717476403118,0.0280971630674057,71
"City","Augusta","Augusta","GA","Augusta, GA","""Augusta-Richmond County, GA-SC""",107,0.825360377599184,68.75,,,80800,0.372670807453416,2.02020202020202,0.0391089108910891,,0.197818179426896,0.0374007406086351,91
